"id";"species";"test_date";"test_time";"test_order";"fin_clip";"video_box";"camera";"ISO";"Exposure";"observer";"sociality_barred_id";"sociality_black_id";"capture_date";"release_date";"location";"depth_feet";"home_tank";"tank_mate_id";"home_tank_combination";"SDL_cm";"remarks_home";"remarks_test";"trial";"Distance_moved_cm";"Velocity_cm.s";"In_zone_Frequency";"In_zone_cum_duration";"In_zone_latency";"Acceleration_min_cm.s2";"Acceleration_max_cm.s2";"vid_id";"Distance_per_body_length";"Velocity_body_length.s"
"BD22-111";"black";"02.11.2022";"09:52:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"JG";"BD22-099";"BD22-098";"31.10.2022";"03.11.2022";"Solarte_B";"10";"3";"BD22-112";"black_barred";7,16;"";"";"Trial    97";68,8196;0,12744;1;540,049;0;-890,759;907,061;"E:\test_videos\OFT\vids_cut\r_aligned\111_OFT.MP4-cut.mov";9,61167597765363;0,0177988826815642
"BD22-112";"barred";"02.11.2022";"09:55:00";"OFT_ESC_SOC";"bottom";"R";"0A4F";1800;1;"JG";"BD22-096";"BD22-097";"31.10.2022";"03.11.2022";"Solarte_B";"10";"3";"BD22-111";"black_barred";7,74;"";"";"Trial    60";5733,6;10,6174;1;540,052;0;-897,507;975,297;"E:\test_videos\OFT\vids_cut\112_OFT.MP4-cut.mov";740,77519379845;1,37175710594315
"BD22-113";"barred";"02.11.2022";"10:40:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"JG";"BD22-099";"BD22-098";"31.10.2022";"03.11.2022";"Solarte_B";"10";"4";"BD22-114";"barred_barred";8,09;"";"";"Trial    98";135,343;0,250626;1;540,052;0;-887,184;887,184;"E:\test_videos\OFT\vids_cut\r_aligned\113_OFT.MP4-cut.mov";16,7296662546354;0,0309797280593325
"BD22-114";"barred";"02.11.2022";"10:42:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"JG";"BD22-096";"BD22-097";"31.10.2022";"03.11.2022";"Solarte_B";"10";"4";"BD22-113";"barred_barred";7,64;"";"HOBO during OFT";"Trial    61";89,9301;0,166531;1;540,052;0;-565,114;565,114;"E:\test_videos\OFT\vids_cut\114_OFT.MP4-cut.mov";11,7709554973822;0,0217972513089005
"BD22-115";"barred";"02.11.2022";"11:21:00";"OFT_ESC_SOC";"top";"L";"7607";1800;1;"JG";"BD22-099";"BD22-098";"31.10.2022";"07.11.2022";"Solarte_B";"10";"5";"BD22-116";"black_barred";7,42;"";"";"Trial    99";8778,83;16,2566;1;540,049;0;-898,384;996,895;"E:\test_videos\OFT\vids_cut\r_aligned\115_OFT.MP4-cut.mov";1183,1307277628;2,19091644204852
"BD22-116";"black";"02.11.2022";"11:25:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"JG";"BD22-096";"BD22-097";"31.10.2022";"03.11.2022";"Solarte_B";"10";"5";"BD22-115";"black_barred";6,27;"";"";"Trial    62";161,459;0,29899;1;540,049;0;-705,836;705,836;"E:\test_videos\OFT\vids_cut\116_OFT.MP4-cut.mov";25,7510366826156;0,0476858054226475
"BD22-117";"black";"02.11.2022";"13:24:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"JG";"BD22-096";"BD22-097";"31.10.2022";"07.11.2022";"Solarte_B";"10";"7";"BD22-118";"black_black";7,6;"";"";"Trial   100";1008,21;1,86699;1;540,049;0;-887,143;897,394;"E:\test_videos\OFT\vids_cut\r_aligned\117_OFT.MP4-cut.mov";132,659210526316;0,245656578947368
"BD22-118";"black";"02.11.2022";"13:26:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"JG";"BD22-099";"BD22-098";"31.10.2022";"07.11.2022";"Solarte_B";"10";"7";"BD22-117";"black_black";7,29;"";"";"Trial    63";3444,77;6,379;1;540,05;0;-898,768;983,461;"E:\test_videos\OFT\vids_cut\118_OFT.MP4-cut.mov";472,533607681756;0,875034293552812
"BD22-119";"barred";"05.11.2022";"10:39:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"07.11.2022";"Bastimentos_A2";"15";"1";"BD22-120";"black_barred";7,53;"";"";"Trial   101";3192,39;5,91152;1;540,061;0;-897,977;931,813;"E:\test_videos\OFT\vids_cut\r_aligned\119_OFT.mov-cut.mov";423,956175298805;0,785062416998672
"BD22-120";"black";"05.11.2022";"10:40:00";"OFT_ESC_SOC";"bottom";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Solarte_B";"10";"1";"BD22-119";"black_barred";7,9;"";"";"Trial    80";461,879;0,855307;1;540,049;0;-891,734;903,989;"E:\test_videos\OFT\vids_cut\l_algned\120_OFT.MP4-cut.mov";58,4656962025316;0,108266708860759
